File Name: not saved
Channel 1: 'IndexForce', 59810 values, raw ADC, no filters.
Channel 2: 'ThumbForce', 59810 values, raw ADC, no filters.
Channel 3: 'dial', 59810 values, raw ADC, no filters.
Channel 4: 'FDI_EMG', 59810 values, raw ADC, no filters.
Channel 5: 'APB_EMG', 59810 values, raw ADC, no filters.
Channel 6: 'EMG EIP', 59810 values, raw ADC, no filters.
Channel 7: 'EMG 7', 59810 values, raw ADC, no filters.

-809	-921	209	291	47	14	-33
-810	-923	209	1080	-2	117	10
-810	-923	209	1122	-104	121	12
-809	-923	209	1103	-57	52	-5
-809	-923	209	554	37	-59	-20
-810	-923	209	90	29	-49	1
-810	-923	209	-24	37	67	41
-810	-923	209	112	52	-20	38
-809	-923	209	192	67	21	19
-809	-923	209	-6	95	101	79
-809	-921	209	-224	116	50	52
-809	-923	209	-506	60	104	37
-809	-923	209	-773	-22	98	45
-809	-923	209	-815	-10	8	-30
-809	-921	209	-424	40	1	-72
-809	-921	209	-231	114	51	-98
-810	-924	209	-346	43	79	-49
-809	-923	209	-422	-136	49	-26
-809	-923	209	-379	-158	77	-8
-810	-923	209	-193	-22	91	27
-809	-921	209	-47	83	68	6
-810	-921	209	34	-26	56	27
-810	-923	209	-57	-29	68	70
-809	-923	209	-55	17	36	62
-809	-923	209	15	30	-98	-6
-810	-923	209	34	31	-183	-3
-810	-923	209	78	8	-65	45
-809	-923	209	18	44	-4	36
-809	-921	209	-48	5	-36	-17
-810	-923	209	28	53	29	-27
-810	-923	209	283	54	40	5
-810	-921	209	418	37	95	24
-810	-923	209	169	57	109	58
-810	-921	209	-183	49	83	26
-809	-921	209	-111	85	103	-3
-810	-923	209	202	91	-7	-1
-809	-921	209	346	6	20	-27
-810	-923	209	170	-132	57	-17
-809	-923	209	50	-43	-62	-20
-809	-923	209	-48	4	39	8
-810	-921	209	-260	-87	53	23
-809	-923	209	-20	45	-9	-13
-809	-923	209	54	46	24	12
-809	-923	209	-145	14	-54	-8
-810	-923	209	-159	54	-81	10
-809	-921	209	71	29	-92	21
-810	-923	209	485	50	-3	13
-810	-923	209	462	67	31	55
-810	-923	209	-82	61	15	9
-809	-923	209	-754	28	101	-26
-809	-923	209	-1150	29	121	-25
-809	-923	209	-1628	-30	116	0
-809	-923	209	-1635	-89	57	66
-809	-923	209	172	-28	1	103
-810	-923	209	2558	-15	37	49
-809	-923	209	3357	-33	-64	-26
-810	-923	209	1926	28	-231	-46
-809	-923	209	-115	47	-132	-42
-809	-923	209	-624	77	-69	-39
-809	-921	209	-190	81	-26	-40
-809	-923	209	-15	-8	1	-13
-810	-921	209	-593	-62	40	24
-810	-921	209	-733	-9	95	49
-809	-921	209	51	55	59	47
-810	-923	209	211	26	100	26
-810	-923	209	99	73	156	32
-809	-921	209	-351	89	144	8
-809	-923	209	-432	60	9	-22
-809	-921	209	13	86	57	15
-809	-921	209	-135	62	72	34
-809	-923	209	-72	66	-2	36
-810	-921	209	-63	27	-29	15
-809	-921	209	156	-90	-38	15
-810	-921	209	600	-111	30	12
-809	-923	209	605	14	-55	-8
-809	-923	209	209	-12	-48	-8
-809	-921	209	-380	-8	9	-27
-810	-923	209	-437	44	-16	-11
-810	-921	209	-187	13	31	-1
-809	-923	209	-301	30	21	16
-810	-923	209	-115	17	-1	19
-810	-921	209	296	41	42	5
-809	-923	209	87	59	143	5
-810	-923	209	189	112	156	10
-809	-923	209	233	131	85	13
-810	-923	209	176	119	13	-31
-809	-923	209	241	12	4	-42
-809	-923	209	-41	-158	24	3
-810	-923	209	-297	-201	-22	7
-809	-921	209	-616	-186	-16	19
-810	-923	209	-457	-38	-67	44
-810	-923	209	-107	34	-20	25
-809	-923	209	74	46	97	44
-810	-923	209	-15	43	-59	70
-809	-921	209	-117	4	-138	40
-810	-921	209	-115	33	-18	65
-809	-923	209	-201	27	35	98
-809	-923	209	-132	11	-2	13
-810	-923	209	-731	-26	-2	-69
-809	-923	209	-1021	38	101	-32
-809	-923	209	-374	41	62	-58
-809	-923	209	326	-9	9	-78
-810	-923	209	767	33	97	15
-809	-923	209	894	48	42	-2
-809	-923	209	917	127	10	2
-809	-923	209	692	110	-3	1
-809	-923	209	282	91	-55	-36
-810	-923	209	-320	69	-41	-1
-810	-921	209	-696	-153	-34	-27
-809	-923	209	-430	-194	-10	-29
-809	-923	209	19	38	7	-1
-809	-923	209	332	89	2	23
-810	-923	209	258	58	20	23
-810	-923	209	-87	16	68	8
-810	-923	209	-79	14	83	34
-810	-923	209	-117	83	60	8
-810	-923	209	-106	37	22	10
-809	-921	209	223	23	75	24
-809	-923	209	211	-10	67	-12
-809	-924	209	-177	12	-46	-28
-809	-923	209	-346	98	-10	-9
-810	-923	209	147	156	-8	82
-809	-923	209	906	153	-37	110
-809	-921	209	1290	96	-31	93
-810	-923	209	339	-55	-20	81
-810	-923	209	-636	-166	76	35
-809	-921	209	-585	-79	141	23
-810	-923	209	-425	-14	183	18
-809	-921	209	-417	20	179	4
-809	-923	209	-535	-16	35	6
-809	-923	209	-153	-13	-45	-45
-809	-923	209	10	-5	-77	-92
-810	-921	209	9	-7	-116	-45
-810	-923	209	183	43	-29	-10
-810	-924	209	-67	23	54	16
-809	-923	209	-301	35	50	47
-809	-923	209	-221	31	51	30
-810	-923	209	111	33	-2	-19
-810	-921	209	258	89	-36	-34
-809	-923	209	193	90	-2	12
-809	-921	209	120	26	9	-10
-810	-923	209	170	-26	-11	-34
-809	-923	209	73	-6	-79	5
-809	-923	209	-46	25	-65	16
-810	-923	209	100	-11	-30	2
-809	-923	209	96	-77	-7	16
-809	-923	209	132	-53	77	64
-809	-923	209	112	-2	62	55
-809	-923	209	48	33	80	33
-810	-923	209	-36	30	98	21
-809	-921	209	-65	29	35	-17
-809	-921	209	-16	44	66	-6
-809	-923	209	-55	36	77	3
-810	-923	209	-16	51	25	-18
-809	-921	209	-49	38	-10	-18
-809	-923	209	33	52	-13	-18
-809	-923	209	100	36	-21	3
-810	-923	209	61	-17	-42	14
-810	-923	209	17	-83	-30	1
-810	-921	209	-119	-58	9	26
-810	-923	209	-396	48	46	41
-810	-923	209	-736	39	66	29
-810	-923	209	-303	19	91	27
-809	-923	209	409	16	58	29
-809	-923	209	749	39	41	23
-810	-923	209	1003	49	56	30
-810	-923	209	585	42	66	45
-810	-921	209	-291	13	124	36
-809	-921	209	-469	-18	54	20
-809	-923	209	-110	44	7	36
-810	-923	209	59	14	36	23
-809	-921	209	-198	5	-16	-12
-809	-923	209	-875	27	-104	-41
-809	-923	209	-1305	-39	-145	-62
-809	-923	209	-984	-51	-41	3
-810	-923	209	415	7	-81	10
-809	-923	209	1454	150	-68	-33
-809	-923	209	1387	161	-9	-39
-810	-923	209	1351	69	-40	-44
-810	-921	209	934	-54	51	1
-809	-923	209	544	-132	8	-22
-809	-921	209	278	-17	20	-32
-810	-923	209	-171	30	109	11
-809	-921	209	-351	16	150	9
-809	-923	209	-749	41	139	26
-809	-923	209	-909	-26	160	57
-810	-923	209	-487	25	137	60
-810	-923	209	-421	42	-7	27
-809	-923	209	-744	19	-148	-10
-810	-921	209	-530	96	-154	-4
-809	-923	209	-22	34	-28	70
-810	-923	209	164	-33	-165	18
-810	-923	209	456	-43	-137	-65
-809	-923	209	371	-10	7	-17
-809	-921	209	-2	15	-10	2
-809	-921	209	-101	14	58	22
-809	-923	209	-218	18	110	59
-809	-923	209	-444	31	136	77
-809	-923	209	-531	41	95	32
-809	-923	209	-23	48	90	6
-809	-921	209	638	63	164	61
-810	-923	209	935	73	169	58
-809	-923	209	623	57	44	-12
-809	-923	209	511	-6	-59	-91
-809	-923	209	396	-21	-83	-122
-809	-923	209	-214	-5	-96	-85
-809	-923	209	-39	-58	-52	-38
-810	-921	209	-79	-31	-45	6
-809	-923	209	-441	5	41	93
-810	-921	209	-324	34	75	136
-809	-923	209	-357	105	-27	51
-809	-923	209	-297	40	18	18
-809	-923	209	-209	36	30	26
-810	-924	209	-208	3	19	-18
-810	-923	209	-51	-6	39	-29
-809	-923	209	98	51	70	-26
-810	-923	209	155	-5	84	-5
-810	-923	209	195	-79	33	2
-809	-921	209	-81	-42	54	32
-809	-923	209	-620	-39	40	25
-810	-923	209	-685	-26	10	-1
-809	-923	209	-422	68	3	-14
-809	-921	209	63	96	-46	-53
-809	-921	209	655	127	-34	-25
-809	-923	209	516	57	-19	-7
-810	-923	209	152	-43	-4	6
-810	-921	209	200	13	40	35
-810	-923	209	245	79	54	35
-809	-923	209	162	22	77	36
-810	-921	209	88	-7	65	45
-810	-923	209	6	-9	77	63
-810	-921	209	-117	47	121	65
-809	-921	209	-275	110	48	27
-809	-923	209	-424	91	-62	-2
-809	-921	209	-258	41	-59	22
-809	-923	209	88	-24	3	13
-809	-923	209	383	-41	-57	-21
-810	-921	209	520	17	-85	0
-809	-921	209	180	6	17	43
-809	-923	209	-180	-61	6	30
-810	-921	209	-65	-123	-65	5
-809	-921	209	308	-71	-41	41
-809	-923	209	416	61	-22	22
-810	-923	209	435	31	16	-26
-810	-924	209	320	48	47	-20
-810	-921	209	-27	45	25	-52
-809	-921	209	26	27	13	-50
-810	-923	209	-90	18	40	-7
-809	-923	209	-249	4	67	14
-809	-923	209	-292	20	86	2
-809	-923	209	-320	21	105	1
-809	-923	209	-308	31	114	-7
-810	-923	209	-685	12	49	-20
