File Name: not saved
Channel 1: 'IndexForce', 14820 values, raw ADC, no filters.
Channel 2: 'ThumbForce', 14820 values, raw ADC, no filters.
Channel 3: 'dial', 14820 values, raw ADC, no filters.
Channel 4: 'FDI_EMG', 14820 values, raw ADC, no filters.
Channel 5: 'APB_EMG', 14820 values, raw ADC, no filters.
Channel 6: 'EMG EIP', 14820 values, raw ADC, no filters.
Channel 7: 'EMG 7', 14820 values, raw ADC, no filters.

-810	-924	209	66	26	6	-15
-810	-923	209	16	27	14	9
-809	-924	209	-6	26	23	13
-809	-924	209	-13	27	10	4
-809	-925	209	-21	11	4	29
-810	-924	209	-50	2	16	56
-810	-924	209	-51	8	10	38
-809	-924	209	-13	32	10	3
-810	-923	209	4	26	-3	3
-809	-923	209	-17	5	5	16
-810	-924	209	56	15	30	30
-809	-924	209	102	38	45	29
-809	-923	209	38	43	58	25
-811	-924	209	-23	42	21	-22
-809	-924	209	-58	-16	-19	-85
-809	-924	209	11	-22	8	-32
-810	-925	209	31	40	-12	-16
-810	-924	209	-41	19	-39	-6
-810	-924	209	34	-4	-10	37
-810	-923	209	121	-1	28	15
-810	-924	209	128	26	64	34
-810	-924	209	6	19	64	23
-810	-924	209	-53	11	57	11
-810	-924	209	57	31	38	19
-809	-924	209	51	17	11	-5
-810	-924	209	-59	-9	-12	-15
-810	-924	209	-98	15	8	-7
-810	-924	209	3	63	-3	-27
-809	-924	209	55	18	-30	-27
-809	-924	209	39	43	-4	23
-810	-924	209	-126	26	8	17
-809	-924	209	-170	-25	40	46
-810	-923	209	12	28	26	67
-810	-924	209	-31	-13	28	16
-809	-923	209	-21	-13	42	5
-810	-923	209	131	58	45	22
-809	-924	209	160	44	54	25
-810	-924	209	150	29	51	25
-810	-924	209	1	31	51	10
-810	-924	209	-133	14	25	-26
-809	-923	209	-137	10	18	-54
-810	-924	209	-90	-6	34	-28
-809	-924	209	68	17	77	57
-810	-924	209	-4	21	30	46
-809	-925	209	-80	6	-29	-15
-810	-924	209	39	29	-35	-10
-810	-924	209	32	24	-22	-18
-809	-925	209	-68	-18	5	19
-809	-923	209	-63	-27	28	53
-809	-924	209	75	32	38	45
-810	-924	209	102	44	8	-6
-809	-924	209	23	13	-2	-40
-809	-924	209	-9	-10	5	6
-809	-924	209	28	-13	7	22
-810	-924	209	47	24	21	42
-809	-924	209	46	15	51	60
-810	-924	209	51	13	74	15
-809	-925	209	30	25	56	-3
-810	-923	209	21	19	-2	-16
-811	-924	209	-12	40	-25	-56
-810	-924	209	-24	35	-35	-67
-809	-924	209	-12	28	-59	-45
-810	-923	209	9	22	-39	17
-810	-924	209	17	18	13	35
-809	-923	209	-25	30	20	36
-810	-924	209	-38	24	21	60
-810	-924	209	-21	-7	27	27
-810	-923	209	1	-16	7	13
-809	-924	209	114	43	3	1
-810	-923	209	102	39	-2	-22
-809	-924	209	-4	-8	-12	6
-810	-923	209	10	0	-17	25
-809	-924	209	14	4	13	21
-810	-923	209	53	32	51	8
-809	-924	209	-35	34	51	1
-810	-923	209	-109	39	58	7
-810	-924	209	-24	30	27	-5
-810	-924	209	-62	1	-16	-7
-810	-924	209	-67	-9	-28	4
-809	-924	209	2	-24	-81	12
-810	-923	209	35	-17	-67	17
-810	-923	209	168	14	-1	41
-809	-924	209	247	61	97	56
-810	-924	209	86	25	159	5
-809	-924	209	-54	7	118	-3
-810	-924	209	-83	43	152	37
-810	-924	209	-101	29	198	25
-810	-924	209	-23	-13	153	13
-809	-924	209	-11	-13	92	0
