File Name: not saved
Channel 1: 'IndexForce', 14830 values, raw ADC, no filters.
Channel 2: 'ThumbForce', 14830 values, raw ADC, no filters.
Channel 3: 'dial', 14830 values, raw ADC, no filters.
Channel 4: 'FDI_EMG', 14830 values, raw ADC, no filters.
Channel 5: 'APB_EMG', 14830 values, raw ADC, no filters.
Channel 6: 'EMG EIP', 14830 values, raw ADC, no filters.
Channel 7: 'EMG 7', 14830 values, raw ADC, no filters.

-73	-113	741	23	75	-1	-17
-73	-113	741	42	30	21	-7
-80	-115	741	37	11	29	7
-73	-115	741	22	12	2	-5
-73	-115	741	16	6	9	7
-80	-115	741	7	6	14	66
-81	-116	741	-10	10	13	42
-73	-115	741	-4	13	34	48
-73	-116	741	11	19	39	46
-81	-116	741	26	15	23	-13
-73	-114	741	26	18	10	24
-73	-113	741	-41	13	10	23
-80	-115	741	-62	7	9	0
-73	-113	741	40	18	38	19
-73	-113	741	65	21	18	-8
-80	-113	741	26	5	-25	9
-74	-113	741	14	-3	14	35
-73	-113	741	18	4	39	25
-81	-115	741	33	12	27	6
-74	-115	741	2	16	17	-16
-73	-115	741	-13	8	14	-7
-81	-116	741	3	11	14	5
-73	-116	741	17	14	13	-9
-80	-113	741	16	14	-12	-23
-80	-115	741	3	13	5	2
-73	-116	741	-16	10	16	-7
-73	-115	741	-3	17	15	-3
-73	-115	741	0	18	17	-5
-73	-114	741	-13	18	23	-14
-73	-113	741	7	22	32	6
-73	-113	741	23	25	30	17
-73	-114	741	12	18	35	24
-74	-113	741	1	12	1	-1
-73	-114	741	34	25	24	11
-80	-113	741	13	21	39	10
-81	-114	741	-21	8	25	14
-80	-113	741	-13	12	41	12
-81	-115	741	-22	14	26	-21
-80	-115	741	-2	15	-14	17
-73	-113	741	18	15	-4	40
-80	-116	741	27	22	10	8
-81	-115	741	-7	71	12	7
-73	-113	741	-120	115	17	8
-73	-116	741	-114	64	7	-2
-73	-116	741	30	13	16	7
-80	-115	741	21	-47	14	7
-73	-113	742	43	-114	21	17
-80	-115	741	150	-93	22	8
-81	-115	741	111	-8	26	4
